BEGIN_YEAR,BEGIN_MONTH,BEGIN_DAY,EVENT_ID,MONTH_NAME,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,FLOOD_CAUSE,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
2019,02,22,811570,February,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,HOBGOOD SIDING,34.7,-87.62,34.7073,-87.6272
2019,02,22,811571,February,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,RIVER PARK,34.51,-85.63,34.5134,-85.6263
2019,02,23,811290,February,Flash Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,WOODBURY,35.825,-86.0953,35.8206,-86.096
2019,02,23,811293,February,Flash Flood,0,0,0,0,275.40K,0.00K,Heavy Rain,ROVER,35.6892,-86.6219,35.379,-86.609
2019,02,23,811596,February,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,BROWNSBORO,34.7493,-86.4478,34.75,-86.4467
2019,03,12,811805,March,Flood,0,0,0,0,0.00K,0.00K,Ice Jam,ELDON,40.87,-92.21,40.92,-92.2
2019,03,12,811815,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,CHURCHVILLE,41.39,-93.76,41.35,-93.73
2019,03,13,813075,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,RICKETTS,42.1917,-95.6105,42.1893,-95.0903
2019,03,13,814851,March,Flood,0,0,0,0,200.00K,0.00K,Ice Jam,OTTOSEN,42.8936,-94.3842,42.6922,-94.3736
2019,03,13,813032,March,Flood,0,0,0,0,500.00K,0.00K,Heavy Rain,CALLAWAY,41.21,-100.03,41.4075,-100.0623
2019,03,13,813034,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,ARNOLD,41.4812,-100.0376,41.4804,-100.0376
2019,03,13,813035,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,MERNA,41.48,-99.92,41.4818,-99.9204
2019,03,13,813076,March,Flood,0,0,0,0,100.00K,0.00K,Heavy Rain / Snow Melt,POLK CITY,41.8473,-93.8151,41.8604,-93.3427
2019,03,15,813128,March,Flood,0,0,0,0,200.00K,0.00K,Heavy Rain / Snow Melt,SCHALLER,42.5448,-95.3688,42.5462,-94.9295
2019,03,25,814699,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,HAMMOND,45.2863,-104.9369,45.0553,-104.1398
2019,03,14,813863,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,LANSING,43.7451,-92.9564,43.7435,-92.9612
2019,03,14,813866,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,ST CHARLES,44.0362,-92.1053,44.0349,-92.1033
2019,03,15,813868,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,ZUMBRO FALLS,44.2872,-92.4324,44.2857,-92.4327
2019,03,14,813870,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,HOUSTON,43.769,-91.57799999999999,43.7682,-91.5698
2019,03,25,814741,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,GETTYSBURG,45.23,-100.24,44.91,-100.4
2019,03,27,814747,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,LAUREL,44.88,-100.37,44.58,-100.57
2019,03,27,814748,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,PIERRE,44.54,-100.5,44.3586,-100.3678
2019,03,17,815048,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,ST GEORGE,44.4378,-94.7115,44.1796,-94.0105
2019,03,16,815684,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,TOOLESBORO,41.1508,-90.9876,41.1427,-90.9992
2019,03,16,815685,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,BURLINGTON,40.8679,-91.0431,40.8684,-91.0755
2019,03,18,815686,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,KEOKUK,40.3835,-91.3869,40.3852,-91.4103
2019,03,12,815673,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,AUGUSTA,40.7543,-91.2632,40.7504,-91.2446
2019,03,13,813077,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,LANESBORO,42.198,-94.6294,42.1884,-95.0873
2019,03,17,814855,March,Flood,0,0,0,0,10.00K,0.00K,Heavy Rain / Snow Melt,WHITTEMORE,43.07,-94.42,43.0537,-94.4097
2019,03,13,813037,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,ANSELMO,41.6215,-99.8689,41.6269,-99.7498
2019,03,13,813038,March,Flood,0,0,0,0,200.00K,0.00K,Heavy Rain,OCONTO,41.14,-99.76,41.1401,-99.7668
2019,03,13,813039,March,Flood,0,0,0,0,25.00K,0.00K,Heavy Rain,BERWYN,41.35,-99.52,41.3515,-99.5194
2019,03,13,813079,March,Flood,0,0,0,0,200.00K,0.00K,Heavy Rain / Snow Melt,CLARE,42.6429,-94.4385,42.6258,-93.9746
2019,03,15,813130,March,Flood,0,0,0,0,200.00K,0.00K,Heavy Rain / Snow Melt,LINCOLN,42.2674,-92.7362,42.2784,-92.3096
2019,03,14,811251,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,COCHRANE,44.2066,-91.8335,44.0429,-91.5734
2019,03,14,811252,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,BELL CENTER,43.3179,-90.8429,43.3344,-90.8681
2019,03,14,811284,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,VIOLA,43.5527,-90.6713,43.1733,-90.6713
2019,03,6,814648,March,Flash Flood,0,0,0,0,1.00K,0.00K,Heavy Rain,PARK VLG,36.4894,-116.8726,36.4792,-116.8742
2019,03,26,814749,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,MC CLURE,44.18,-100.35,44.18,-99.96
2019,03,25,814750,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,FT THOMPSON,44.18,-99.53,43.95,-99.34
2019,03,25,814751,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,HOLABIRD,44.89,-99.66,44.22,-99.65
